id,municipio,municipio_uf,latitude,longitude,uf
220,ANTONIO CARDOSO,ANTONIO CARDOSO - BA,-12.43,-39.12,BA
1369,ANTONIO CARLOS,ANTONIO CARLOS - MG,-21.31,-43.74,MG
4372,ANTONIO CARLOS,ANTONIO CARLOS - SC,-27.51,-48.76,SC
1370,ANTONIO DIAS,ANTONIO DIAS - MG,-19.65,-42.87,MG
221,ANTONIO GONCALVES,ANTONIO GONCALVES - BA,-10.57,-40.27,BA
2197,ANTONIO JOAO,ANTONIO JOAO - MS,-22.19,-55.94,MS
3664,ANTONIO MARTINS,ANTONIO MARTINS - RN,-6.21,-37.9,RN
3181,ANTONIO OLINTO,ANTONIO OLINTO - PR,-25.98,-50.19,PR
3903,ANTONIO PRADO,ANTONIO PRADO - RS,-28.85,-51.28,RS
1371,ANTONIO PRADO DE MINAS,ANTONIO PRADO DE MINAS - MG,-21.01,-42.1,MG
2546,APARECIDA,APARECIDA - PB,-6.78,-38.08,PB
4753,APARECIDA,APARECIDA - SP,-22.84,-45.23,SP
897,APARECIDA DE GOIANIA,APARECIDA DE GOIANIA - GO,-16.82,-49.24,GO
898,APARECIDA DO RIO DOCE,APARECIDA DO RIO DOCE - GO,-18.29,-51.14,GO
5378,APARECIDA DO RIO NEGRO,APARECIDA DO RIO NEGRO - TO,-9.95,-47.97,TO
2198,APARECIDA DO TABOADO,APARECIDA DO TABOADO - MS,-20.08,-51.09,MS
4754,APARECIDA D'OESTE,APARECIDA D'OESTE - SP,-20.44,-50.88,SP
3566,APERIBE,APERIBE - RJ,-21.62,-42.1,RJ
809,APIACA,APIACA - ES,-21.15,-41.56,ES
2276,APIACAS,APIACAS - MT,-9.54,-57.44,MT
4755,APIAI,APIAI - SP,-24.5,-48.84,SP
1134,APICUM-ACU,APICUM-ACU - MA,-1.46,-45.1,MA
4373,APIUNA,APIUNA - SC,-27.03,-49.39,SC
3665,APODI,APODI - RN,-5.66,-37.79,RN
222,APORA,APORA - BA,-11.66,-38.08,BA
899,APORE,APORE - GO,-18.96,-51.92,GO
223,APUAREMA,APUAREMA - BA,-13.85,-39.74,BA
3182,APUCARANA,APUCARANA - PR,-23.55,-51.46,PR
128,APUI,APUI - AM,-7.19,-59.89,AM
627,APUIARES,APUIARES - CE,-3.94,-39.43,CE
4652,AQUIDABA,AQUIDABA - SE,-10.28,-37.01,SE
2199,AQUIDAUANA,AQUIDAUANA - MS,-20.47,-55.78,MS
628,AQUIRAZ,AQUIRAZ - CE,-3.9,-38.39,CE
4374,ARABUTA,ARABUTA - SC,-27.16,-52.14,SC
2547,ARACAGI,ARACAGI - PB,-6.85,-35.38,PB
1372,ARACAI,ARACAI - MG,-19.19,-44.24,MG
4653,ARACAJU,ARACAJU - SE,-10.91,-37.07,SE
4756,ARACARIGUAMA,ARACARIGUAMA - SP,-23.43,-47.06,SP
224,ARACAS,ARACAS - BA,-12.22,-38.2,BA
629,ARACATI,ARACATI - CE,-4.56,-37.77,CE
225,ARACATU,ARACATU - BA,-14.42,-41.46,BA
4757,ARACATUBA,ARACATUBA - SP,-21.2,-50.43,SP
226,ARACI,ARACI - BA,-11.33,-38.96,BA
1373,ARACITABA,ARACITABA - MG,-21.34,-43.37,MG
630,ARACOIABA,ARACOIABA - CE,-4.37,-38.81,CE
2771,ARACOIABA,ARACOIABA - PE,-7.79,-35.09,PE
4758,ARACOIABA DA SERRA,ARACOIABA DA SERRA - SP,-23.5,-47.61,SP
810,ARACRUZ,ARACRUZ - ES,-19.82,-40.27,ES
900,ARACU,ARACU - GO,-16.35,-49.68,GO
1374,ARACUAI,ARACUAI - MG,-16.85,-42.07,MG
901,ARAGARCAS,ARAGARCAS - GO,-15.89,-52.25,GO
902,ARAGOIANIA,ARAGOIANIA - GO,-16.91,-49.45,GO
5379,ARAGOMINAS,ARAGOMINAS - TO,-7.16,-48.52,TO
5380,ARAGUACEMA,ARAGUACEMA - TO,-8.8,-49.55,TO
5381,ARAGUACU,ARAGUACU - TO,-12.93,-49.82,TO
2277,ARAGUAIANA,ARAGUAIANA - MT,-15.73,-51.83,MT
5382,ARAGUAINA,ARAGUAINA - TO,-7.19,-48.2,TO
2278,ARAGUAINHA,ARAGUAINHA - MT,-16.85,-53.03,MT
1135,ARAGUANA,ARAGUANA - MA,-2.95,-45.66,MA
5383,ARAGUANA,ARAGUANA - TO,-6.58,-48.64,TO
903,ARAGUAPAZ,ARAGUAPAZ - GO,-15.09,-50.63,GO
1375,ARAGUARI,ARAGUARI - MG,-18.64,-48.18,MG
5384,ARAGUATINS,ARAGUATINS - TO,-5.65,-48.12,TO
1136,ARAIOSES,ARAIOSES - MA,-2.89,-41.9,MA
2200,ARAL MOREIRA,ARAL MOREIRA - MS,-22.93,-55.63,MS
227,ARAMARI,ARAMARI - BA,-12.08,-38.49,BA
3904,ARAMBARE,ARAMBARE - RS,-30.91,-51.49,RS
1137,ARAME,ARAME - MA,-4.73,-45.9,MA
4759,ARAMINA,ARAMINA - SP,-20.09,-47.78,SP
4760,ARANDU,ARANDU - SP,-23.13,-49.05,SP
1376,ARANTINA,ARANTINA - MG,-21.91,-44.25,MG
4761,ARAPEI,ARAPEI - SP,-22.67,-44.44,SP
25,ARAPIRACA,ARAPIRACA - AL,-9.75,-36.66,AL
5385,ARAPOEMA,ARAPOEMA - TO,-7.65,-49.06,TO
1377,ARAPONGA,ARAPONGA - MG,-20.66,-42.52,MG
3183,ARAPONGAS,ARAPONGAS - PR,-23.41,-51.42,PR
1378,ARAPORA,ARAPORA - MG,-18.43,-49.18,MG
3184,ARAPOTI,ARAPOTI - PR,-24.15,-49.82,PR
1379,ARAPUA,ARAPUA - MG,-19.03,-46.15,MG
3185,ARAPUA,ARAPUA - PR,-24.31,-51.78,PR
2279,ARAPUTANGA,ARAPUTANGA - MT,-15.47,-58.35,MT
4375,ARAQUARI,ARAQUARI - SC,-26.37,-48.72,SC
2548,ARARA,ARARA - PB,-6.82,-35.75,PB
4376,ARARANGUA,ARARANGUA - SC,-28.93,-49.48,SC
4762,ARARAQUARA,ARARAQUARA - SP,-21.79,-48.17,SP
4763,ARARAS,ARARAS - SP,-22.35,-47.38,SP
631,ARARENDA,ARARENDA - CE,-4.75,-40.83,CE
1138,ARARI,ARARI - MA,-3.45,-44.78,MA
3905,ARARICA,ARARICA - RS,-29.61,-50.92,RS
632,ARARIPE,ARARIPE - CE,-7.21,-40.04,CE
2772,ARARIPINA,ARARIPINA - PE,-7.57,-40.49,PE
3567,ARARUAMA,ARARUAMA - RJ,-22.87,-42.34,RJ
2549,ARARUNA,ARARUNA - PB,-6.55,-35.74,PB
3186,ARARUNA,ARARUNA - PR,-23.93,-52.49,PR
228,ARATACA,ARATACA - BA,-15.26,-39.41,BA
3906,ARATIBA,ARATIBA - RS,-27.39,-52.3,RS
633,ARATUBA,ARATUBA - CE,-4.41,-39.04,CE
229,ARATUIPE,ARATUIPE - BA,-13.07,-39,BA
4654,ARAUA,ARAUA - SE,-11.26,-37.62,SE
3187,ARAUCARIA,ARAUCARIA - PR,-25.59,-49.41,PR
1380,ARAUJOS,ARAUJOS - MG,-19.94,-45.16,MG
1381,ARAXA,ARAXA - MG,-19.59,-46.94,MG
1382,ARCEBURGO,ARCEBURGO - MG,-21.36,-46.94,MG
4764,ARCO-IRIS,ARCO-IRIS - SP,-21.77,-50.46,SP
1383,ARCOS,ARCOS - MG,-20.28,-45.53,MG
2773,ARCOVERDE,ARCOVERDE - PE,-8.41,-37.05,PE
1384,AREADO,AREADO - MG,-21.35,-46.14,MG
3568,AREAL,AREAL - RJ,-22.23,-43.1,RJ
4765,AREALVA,AREALVA - SP,-22.02,-48.91,SP
2550,AREIA,AREIA - PB,-6.96,-35.69,PB
